Carapace data used for phylogenetic analysis,Mass data used for phylogenetic analysis,Max mass used?,Max SCL used?,Captive?,Combined populations?,Genus,Species,Common Name,Family,M Mass (g),F Mass (g),N,Locality,M SCL (mm),F SCL (mm),M Max Mass (g),F Max Mass (g),Pop Max Mass (g),M Max SCL (mm),F Max SCL (mm),Pop Max SCL (mm),KWR notes,Mass Source,SCL Original Source,SCL Dataset Source,secondary mass source,,,,,,
yes,,,,,,Kinosternon,durangoense,,Kinosternidae,,,,,139,120,,,,183,145,,,,"Gibbons & Lovich, 1990; Iverson, 1989","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Kinosternon,flavescens,,Kinosternidae,,,,,120.1,101.7,,,,141.9,135.1,,,,"Iverson, 1989; Gibbons & Lovich, 1990; Ewert & Nelson, 1991","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Kinosternon,flavescens,,Kinosternidae,,,"399M, F321",,144,128,,,,,,,,,Berry and Berry 1984,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Kinosternon,hirtipes,mud turtle,Kinosternidae,212.7,202.6,"295M, 255F","Galeana, Chihuahua, Mexico",112.6,107.4,380,325,380,141.8,131.1,141.8,,"Iverson, J.B., E.L. Barthelmess, G.R. Smith, and C.E. DeRivera. 1991. Growth and Reproduction in the Mud Turtle Kinosternon hirtipes in Chihuahua, Mexico. Journal of Herpetology 25(1): 64-72.",,,,,,,,,
,,,,,,Kinosternon,hirtipes,,Kinosternidae,,,,,,,,,,185,160,,,,"Iverson, 1985a;  Iverson, 1985b; Bonin et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Kinosternon,hirtipes,,Kinosternidae,,,"312M, F244",,182,152,,,,,,,,,Iverson 1991,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Kinosternon,hirtipes ssp chapalaense,Mexican mud turtle,Kinosternidae,170,510,"1M, 1F","Laguna Zapotlan, Jalisco state, Mexico",113.4,150.2,,,,,,,,"Reyes-Velasco, J., J.B. Iverson, and O. Flores-Villela. 2013. The Conservation Status of Several Endemic Mexican Kinosternid Turtles. Chelonian Conservation and Biology 12(1): 203-208.",,,,,,,,,
yes,yes,,,,,Kinosternon,hirtipes ssp magdalense,Mexican mud turtle,Kinosternidae,192.5,300,"4M, 2F","Presa San Juanico, Cotija de la Paz municipality, Michoacan state, Mexico",114.85,123.35,220,340,340,120.5,128.2,128.2,,"Reyes-Velasco, J., J.B. Iverson, and O. Flores-Villela. 2013. The Conservation Status of Several Endemic Mexican Kinosternid Turtles. Chelonian Conservation and Biology 12(1): 203-208.",,,,,,,,,
,yes,,,,yes,Kinosternon,integrum,Mexican mud turtle,Kinosternidae,736.45,450,"2M, 1F","Tonatico, Estado de Mexico, Mexico                                  Presa San Juanico, Cotija de la Paz municipality, Michoacan state, Mexico",,,,,,,,,,"Macip-Rios, R., and G. Casas-Andreu. 2006. Kinosternon integrum (Mexican Mud Turtle) Size. Herpetological Review 37(1): 79.                          ",,,"Reyes-Velasco, J., J.B. Iverson, and O. Flores-Villela. 2013. The Conservation Status of Several Endemic Mexican Kinosternid Turtles. Chelonian Conservation and Biology 12(1): 203-208.",,,,,,
,,,,,,Kinosternon,integrum,,Kinosternidae,,,,,,,,,,223,195,,,,"Iverson et al., 1998; Bonin et al., 2006; Macip-Rios & Casas-Andreu, 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Kinosternon,integrum,,Kinosternidae,,,"171M, F220",,197,168,,,,,,,,,Iverson 1991,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Kinosternon,oaxacae,,Kinosternidae,,,,,140.9,126.6,,,,175,157,,,,"Iverson, 1983; Iverson, 1986; Bonin et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Kinosternon,oaxacae,,Kinosternidae,,,"18M, F21",,175,137,,,,,,,,,Berry et al. 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,yes,,Kinosternon,scorpioides,scorpion mud turtle,Kinosternidae,314.05,430.08,"75M, 176F",,147.9,152.6,560,660,660,185,190,190,note: captive raised masses,"Castro, A.B. 2006. Biologia reprodutiva e crescimento do muçuã Kinosternon scorpioides (Linnaeus, 1776) em cativeiro. Unpublished MSc Thesis, Universidade Federal do Para, Belem. 100pp.",,,,,,,,,
,,,,,,Kinosternon,scorpioides,scorpion mud turtle,Kinosternidae,611,755,"9M, 15F","Palo Verde National Park, Costa Rica",,,730,910,910,,,,,"Marquez, C. 1995. Historia Natural y Dimofism Sexual de la Tortuga Kinosternon scorpioides en Palo Verde Costa Rica. Revista de Ecologia Latino-Americana 2(1-3): 37-44.",,,,,,,,,
yes,,,,,,Kinosternon,scorpioides,,Kinosternidae,,,,,161,138,,,,205,180,,,,"Pritchard & Trebbau, 1984; Berry & Iverson, 2001","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Kinosternon,scorpioides,,Kinosternidae,,,"69M, F82",,139,148,,,,,,,,,Iverson 1991,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Kinosternon,sonoriense,Sonoran Mud turtle,Kinosternidae,298,340,~580,Arizona,,,,,,,,,,"van Loben Sels, R.C., J.D. Congdon, and J.T. Austin. 1997. Life history and ecology of the Sonoran mud turtle (Kinosternon sonoriense) in southeastern Arizona: a preliminary report. Chelonian Conservation and Biology 2:338-344.",,,,,,,,,
,,,,,,Kinosternon,sonoriense,Sonoran Mud turtle,Kinosternidae,169,151,"1M, 1F","Hidalgo County, New Mexico",114.5,101.7,,,,,,,,"Stone, P.A., M.E. Babb, B.D. Stanila, G.W. Kersey, and Z.S. Stone. 2005. Kinosternon sonoriense (Sonoran Mud Turtle) Diet. Herpetological Review 36(2): 167-168.",,,,,,,,,
,,,,,,Kinosternon,sonoriense,,Kinosternidae,,,,,100,111,,,,155,175,,,,"Iverson, 1976; Gibbons & Lovich, 1990; Bonin et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Kinosternon,sonoriense,,Kinosternidae,,,"205M, F262",,168,160,,,,,,,,,van Loben Sels et al. 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Kinosternon,subrubrum,mud turtles,Kinosternidae,110.3,118.9,"263M, 175F","Savannah River Plant and Capers Island, South Carolina",85.5,86.3,,,,,,,,"Congdon, J.D., J.L. Greene, and J.W. Gibbons. 1986. Biomass of Freshwater Turtles: A Geographic Comparison. American Midland Naturalist 115(1): 165-173.",,,,,,,,,
,,,,,,Kinosternon,subrubrum,,Kinosternidae,,,,,87.9,88.3,,,,,,,,,"Gibbons & Lovich, 1990; Lovich & Lamb, 1995 ","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Kinosternon,subrubrum,,Kinosternidae,,,"214M, F189",,101,102,,,,,,,,,Gibbons 1983,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Kinosternum,subrubrum,eastern mud turtle,Kinosternidae,71,183,<10,East Texas,,,,,,,,,,"Brian Fontenot, unpublished data",,,,,,,,,
,yes,,,,,Lepidochelys,kempii,Kemp's ridley seaturtle,Cheloniidae,29400,31400,"2M, 4F",,,,,,,,,,,"Rostal, D.C. 2005. Seasonal Reproductive Biology of the Kemp's Ridley Sea Turtle (Lepidochelys kempii): Comparison of Captive and Wild Populations. Chelonian Conservation and Biology 4(4): 788-800.",,,,,,,,,
yes,,,,,,Lepidochelys,kempii,,Cheloniidae,,,"11M, F69",,643,719,,,,,,,,,"Shaver et al. 2005, Witzell et al. 2005","Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Lepidochelys,olivacea,,Cheloniidae,,,"?M, F?",,690,735,,,,,,,,,"Pritchard and Trebbau 1984, Silas et al. 1984","Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Lepidochelys ,kempii,,Cheloniidae,,,,,605,585,,,,663,719.5,,,,"Zug et al., 1997; Witzell, 2005; Ernst et al., 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Lepidochelys ,olivacea,,Cheloniidae,,,,,665.2,701,,,,720,793.3,,,,"Pritchard & Trebbau, 1984; Beavers & Cassano, 1996; Plotkin et al., 1996; Zug et al., 1997; da Silva et al., 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Leucocephalon,yuwonoi,Sulawesi Forest Turtle,Geoemydidae,1850,1000,"14M,21F","Palu, Sulawesi",223,172,2500,1900,2500,260,210,260,maximums are from all populations in study,"Riyanto, A. 2006. Notes on exploitation, population status, distribution, and natural history of the Sulawesi Forest Turtle (Leucocephalon yuwonoi) in north-central Sulawesi, Indonesia. Chelonian Conservation and Biology 5(2):320-323.",,,,,,,,,
,,,,,,Leucocephalon,yuwonoi,Sulawesi Forest Turtle,Geoemydidae,2070,1600,"3M,2F","Moutong, Parimo, Sulawesi",228,193,2500,1900,2500,260,210,260,maximums are from all populations in study,"Riyanto, A. 2006. Notes on exploitation, population status, distribution, and natural history of the Sulawesi Forest Turtle (Leucocephalon yuwonoi) in north-central Sulawesi, Indonesia. Chelonian Conservation and Biology 5(2):320-323.",,,,,,,,,
,,,,,,Leucocephalon,yuwonoi,Sulawesi Forest Turtle,Geoemydidae,1460,1200,"5M,8F","Dondo, Toli Toli, Sulawesi",184,164,2500,1900,2500,260,210,260,maximums are from all populations in study,"Riyanto, A. 2006. Notes on exploitation, population status, distribution, and natural history of the Sulawesi Forest Turtle (Leucocephalon yuwonoi) in north-central Sulawesi, Indonesia. Chelonian Conservation and Biology 5(2):320-323.",,,,,,,,,
,,,,,,Leucocephalon,yuwonoi,Sulawesi Forest Turtle,Geoemydidae,1780,1300,"5M,4F","Sindue, Sulawesi",236,196,2500,1900,2500,260,210,260,maximums are from all populations in study,"Riyanto, A. 2006. Notes on exploitation, population status, distribution, and natural history of the Sulawesi Forest Turtle (Leucocephalon yuwonoi) in north-central Sulawesi, Indonesia. Chelonian Conservation and Biology 5(2):320-323.",,,,,,,,,
,,,,,,Leucocephalon,yuwonoi,Sulawesi Forest Turtle,Geoemydidae,1760,1300,"9M,9F","Bangkir, Toli Toli, Sulawesi",229,186,2500,1900,2500,260,210,260,maximums are from all populations in study,"Riyanto, A. 2006. Notes on exploitation, population status, distribution, and natural history of the Sulawesi Forest Turtle (Leucocephalon yuwonoi) in north-central Sulawesi, Indonesia. Chelonian Conservation and Biology 5(2):320-323.",,,,,,,,,
yes,,,,yes,,Leucocephalon,yuwonoi,Sulawesi Forest Turtle,Geoemydidae,1800,1200,"15M, 15F",,231.3,185.6,2450,1800,2450,250,210,,"note: captive from Palu, Indonesia","Ives, I. 2006. Conservation of Sulawesi's Two Endemic Chelonians, Leucocephalon yuwonoi and Indotestudo forstenii; A Preliminary Investigation into In-situ and Ex-situ Conservation Concerns. Msc Thesis. Antioch University New England.",,,,,,,,,
,yes,,,yes,,Leucocephalon,yuwonoi,Sulawesi Forest Turtle,Geoemydidae,2000,1200,"15M, 15F",,240.9,193.4,2700,1600,2700,271.9,218,271.9,note: captive from US,"Ives, I. 2006. Conservation of Sulawesi's Two Endemic Chelonians, Leucocephalon yuwonoi and Indotestudo forstenii; A Preliminary Investigation into In-situ and Ex-situ Conservation Concerns. Msc Thesis. Antioch University New England.",,,,,,,,,
,,,,,,Leucocephalon,yuwonoi,,Geoemydidae,,,"15M, F15",,250,210,,,,,,,,,Ives 2006,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Lissemys,punctata,,Trionychidae,,,,,200.2,197.9,,,,249,277.5,,,,"Yadava & Prasad, 1982; Agarwal, 1987","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Lissemys,punctata,,Trionychidae,,,,,238,280,,,,,,,,,Sundar 2004,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Lissemys,punctata ssp andersoni,Indian flap-shelled turtle,Trionychidae,727,955,"48M, 71F","Etawah, Uttar Pradesh, India",,,1400,2700,2700,,,280,,"Sundar, K.S.G. 2004. From a Poacher's Bag: Patterns of Exploitation of Lissemys punctata andersoni in Etawah, Uttar Pradesh, India. Turtle and Tortoise Newsletter 8: 18-19.",,,,,,,,,
,yes,,,,,Lissemys,punctata ssp andersoni,Indian flap-shelled turtle,Trionychidae,5000,7000,,"Orang National Park, Assam state, India",213.5,306.5,,,,225,370,370,CL are midpoint of range,"Baruah, C., P. Chetia, S.K. Bhuyan, and D.K. Sharma. 2012. Diversity of Freshwater Turtles and Their Possible Conservation in and Around the Orang National Park, Assam India. Tigerpaper 39(1): 24-30.",,,,,,,,,
,,,,,,Macrochelys,temminckii,Western alligator snapping turtle,Chelydridae,21300,13400,"48M, 56F",southeastern Louisiana,472,396,51400,27700,120000,622,533,800,,"Boundy, J., and C. Kennedy. 2006. Trapping Survey Results for the Alligator Snapping Turtle (Macrochelys temminckii) in Southeastern Louisiana, with Comments on Exploitation. Chelonian Conservation and Biology 5(1): 3-9.",,,,,,,,,
,,,,,,Macrochelys,temminckii,Western alligator snapping turtle,Chelydridae,36300,14400,"41M,47F","Sequoyah National Wildlife Refuge, Muskogee County and Sequoyah County, Oklahoma",,,46400,26800,46400,,,614,,"Riedle, J.D., P.A. Shipman, S.F. Fox, J.C. Hackler, and D.M. Leslie, Jr. 2008. Population structure of the Alligator Snapping Turtle, Macrochelys temminckii, on the western edge of its distribution. Chelonian Conservation and Biology 7(1):100-104.",,,,,,,,,
yes,,,,,,Macrochelys,temminckii,,Chelydridae,,,"48M, F56",,622,533,,,,,,,,,Boudy and Kennedy 2006,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Macrochelys ,temminckii,,Chelydridae,,,,,469.1,390,,,,598.3,482,,,,"Dobie, 1971; Morris & Sweet, 1985; Gibbons & Lovich, 1990; Trauth et al., 1998; Boundy & Kennedy, 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Macrochelys ,temminckii,alligator snapping turtle ,Chelydridae ,37340,17130,<20,East Texas,,,,,,,,,,"Brian Fontenot, unpublished data",,,,,,,,,
,yes,,,,,Macrochelys ,temminckii,Alligator snapping turtle,Chelydridae,40100,17900,<10,,,,,,,,,,,"Harrel, J.B., N.H. Douglas, M.M. Haraway, and R.D. Thomas. 1996. Mating behavior of captive alligator snapping turtles Macroclemys temminckii. Chelonian Conservation and Biology 2(1):101-105",,,,,,,,,
,,,,,,Macrochelys ,temminckii,Alligator snapping turtle,Chelydridae,24600,13100,"4m,7f",northeastern Arkansas,476.3,361.1,,,,,,,,"Trauth, S.E., J.D. Wilhide, and A. Holt. 1998. Population structure and movement patterns of alligator snapping turtles (Macroclemys temminckii) in northeastern Arkansas. Chelonian Conservation and Biology 3(1):64-70.",,,,,,,,,
,,,,,,Malaclemys,terrapin,Diamondback terrapin,Emydidae,242,667,220,South Carolina,,,,,,,,,,"Gibbons, J.W., J.E. Lovich, A.D. Tucker, N.N. FitzSimmons, and J.L. Greene. 2001. Demographic and ecological factors affecting conservation and management of the diamondback terrapin (Malaclemys terrapin) in South Carolina. Chelonian Conservation and Biology 4:66-74.",,,,,,,,,
,,,,,,Malaclemys,terrapin,,Emydidae,,,"495M, F751",,150,202,,,,,,,,,Gibbons et al. 2001,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Malaclemys,terrapin ssp rhizophorarum,Mangrove Diamondback terrapin,Emydidae,258.36,766.45,"55M,289F","TLK study site, Florida Keys",119.81,166.57,420,1175,1175,135,189,189,,"Mealey, B.K., J.D. Baldwin, G.B. Parks-Mealey, G.D. Bossart, and M.R.J. Forstner. 2014. Characteristics of mangrove diamondback terrapins (Malaclemys terrapin rhizophorarum) inhabiting altered and natural mangrove islands. Journal of North American Herpetology 2014:76-80.",,,,,,,,,
yes,,,,,,Malaclemys,terrapin ssp rhizophorarum,Mangrove Diamondback terrapin,Emydidae,221.25,892.02,"8M,114F","CKW study site, Florida Keys",112.25,172.28,320,1150,1150,129,196,196,,"Mealey, B.K., J.D. Baldwin, G.B. Parks-Mealey, G.D. Bossart, and M.R.J. Forstner. 2014. Characteristics of mangrove diamondback terrapins (Malaclemys terrapin rhizophorarum) inhabiting altered and natural mangrove islands. Journal of North American Herpetology 2014:76-80.",,,,,,,,,
,,,,,,Malaclemys ,terrapin,,Emydidae,,,,,122.5,192,,,,150,238,,,,"Ernst et al., 1994; Conant & Collins, 1998; Bonin et al., 2006; Ernst et al., 2007; Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Malacochersus,tornieri,Pancake Tortoise,Testudinidae,260.4,380,40,Tanzania,,,,,,,,,,"Moll, D. and M.W. Klemens. 1996. Ecological characteristics of the pancake tortoise, Malacochersus tornieri, in Tanzania. Chelonian Conservation and Biology 2(1):26-35.",,,,,,,,,
,yes,,,yes,,Malacochersus,tornieri,Pancake Tortoise,Testudinidae,405.1,470.2,"14M, 29F","Columbus, Ohio",146.3,151.6,,,,,,,note: captive raised masses,"Ewert, M.A., R.E. Hatcher, and J.M. Goode. 2004. Sex Determination and Ontogeny in Malacochersus tornieri, the Pancake Tortoise. Journal of Herpetology 38(2): 291-295.",,,,,,,,,
,,,,yes,,Malacochersus,tornieri,pancake tortoise,Testudinidae,370,410,"43M, 76F",,147.5,147.7,500,580,580,160,171,171,note: captive raised masses,"Kabigumila, J. 2002. Morphometrics of the Pancake Tortoise (Malacochersus tornieri) in Tanzania. Tanzania Journal of Science 28(2): 33-46.",,,,,,,,,
yes,,,,,,Malacochersus,tornieri,,Testudinidae,,,,,146.3,151.6,,,,,,,,,"Ewert et al., 2004","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Malacochersus,tornieri,,Testudinidae,,,"22M, F18",,170,178,,,,,,,,,Moll and Klemens 1996,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Malayemys,macrocephala,,Geoemydidae,,,"15M, F21",,131,187,,,,,,,,,Brophy 2006,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Malayemys,subtrijuga,,Geoemydidae,,,"78M, F248",,199,236,,,,,,,,,Platt et al.2008,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Malayemys ,macrocephala,,Geoemydidae,,,,,117.2,148.6,,,,150,207,,,,"Brophy, 2006, Brophy, 2002","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Malayemys ,subtrijuga,,Geoemydidae,,,,,,,,,,152,187,,,,"Brophy, 2002","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Manouria,emys,,Testudinidae,,,,,350,440,,,,,,,,,"Lambert & Howes, 1994","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,yes,,,Manouria,impressa,,Testudinidae,,,,,,,,,,279,302,,,,"Chan-Ard et al., 1996","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Mauremys,caspica,,Geoemydidae,,,,,115,155,,,,,,,,,"Busack & Ernst, 1980","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Mauremys,japonica,,Geoemydidae,,,,,113.8,160.8,,,,150.1,188.8,,,,"Yabe, 1989; 1992; Iverson & McCord, 1994","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,yes,,,,,Mauremys,leprosa,Mediterranian turtle,Geoemydidae,577.25,911,"4M, 2F","El Portil Pond, southern Spain (37.14N, 7.2W)",165.35,185.3,778,1048,1048,178.5,191.3,191.3,,"Perez-Santigosa, N., J. Hidalgo-Vila, and C. Diaz-Paniagua. 2013. Comparing Activity Patterns and Aquatic Home Range Areas Among Exotic and Native Turtles in Southern Spain. Chelonian Conservation and Biology 12(2): 313-319.",,,,,,,,,
yes,,,,,,Mauremys,leprosa,,Geoemydidae,,,,,130.4,159.2,,,,,,,,,"Busack & Ernst, 1980; Muñoz & Nicolau, 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Mauremys,mutica,,Geoemydidae,,,,,149.9,146.4,,,,196,195,,,,"Iverson & McCord, 1994; Yasukawa et al., 1996; Bonin et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,yes,,,,,Mauremys,nigricans,redneck pond turtle,Geoemydidae,523.5,912,"3M, 3F",,161,184.7,,,,,,,,"Artner, H. 2009. Successful Breeding of the Chinese Red-necked Pond Turtle Mauremys [Chinemys] nigricans. (Gray, 1834). Emys 16: 4-22.",,,,,,,,,
,,,,,,Mauremys,nigricans,,Geoemydidae,,,,,,,,,,185,257,,,,"Iverson & McCord, 1989","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,yes,,,,,Mauremys,reevesii,Reeves' turtle,Geoemydidae,353.1,743.3,"833M, 214F","Ishima Island, Japan",131.9,165.5,,,,185.3,237,,,"Lovich, J.E., Y. Yasukawa, and H. Ota. 2011. Mauremys reevesii (Gray 1831)-Reeves' Turtle, Chinese Three-keeled Pond Turtle. Chelonian Research Monograph 5: 50.1-50.10.",,,,,,,,,
,,,,,,Mauremys,reevesii,,Geoemydidae,,,,,99,124.5,,,,185.5,237.2,,,,"Gibbons & Lovich, 1990","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,yes,,,,,Mauremys,rivulata,Western Caspian turtle,Geoemydidae,109.4,257.5,"27M, 70F","Selçuk, Selçuk district, İzmir Province, Turkey",93.9,119.5,380,823,823,142,18.1,18.1,,"Güçlü, O., and O. Türkozan. 2010. Population Structure of Mauremys rivulata in Western Turkey. Turkish Jounal of Zoology 34(3): 385-391.",,,,,,,,,
