Carapace data used for phylogenetic analysis,Mass data used for phylogenetic analysis,Max mass used?,Max SCL used?,Captive?,Combined populations?,Genus,Species,Common Name,Family,M Mass (g),F Mass (g),N,Locality,M SCL (mm),F SCL (mm),M Max Mass (g),F Max Mass (g),Pop Max Mass (g),M Max SCL (mm),F Max SCL (mm),Pop Max SCL (mm),KWR notes,Mass Source,SCL Original Source,SCL Dataset Source,secondary mass source,,,,,,
,yes,,,,,Chelodina,longicollis,common snake-necked turtle,Chelidae,531.5,757,"39M, 21F","Booderee National Park, Jervis Bay Territory, Australia",178.2,194.95,653,1004,1004,193.5,218.9,218.9,note: mass is midpoint of a range,"Roe, J.H., and A. Georges. 2008. Maintenance of Variable Responses for Coping with Wetland Drying in Freshwater Turtles. Ecology 89(2): 485-494.",,,,,,,,,
yes,,,,,,Chelodina,longicollis,,Chelidae,,,"?M, F?",,212,265,,,,,,,,,Cann and Legler 1994,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Chelodina,oblonga,Northern snake-necked turtle,Chelidae,1158.2,702,"38M, 35F","Papua Province, New Guinea Island, Indonesia",198,170,,,,268,287,287,"note: was C. rugosa, recently synonymized a bunch of species, uncertain taxonomy","Lyons, J.A., D.J.D. Natusch, and C.R. Shepherd. 2013. The Harvest of Freshwater Turtles (Chelidae) from Papua, Indonesia, for the International Pet Trade. Oryx 47(2): 298-302.",,,,,,,,,
,yes,yes,,,,Chelodina,oblonga,Northern snake-necked turtle,Chelidae,,,,"Darwin, Northern Territory, Australia",,,3300,4000,4000,265,310,310,,"Kennett, R., D.A. Fordham, E. Alacs, B. Corey, and A. Georges. 2014. Chelodina oblonga Gray 1841 - Northern Snake-necked Turtle. Chelonian Research Monographs 5: 77.1-77.13.",,,,,,,,,
,,,,,,Chelodina,oblonga,,Chelidae,,,"24M, F47",,257,304,,,,,,,,,"Thomson et al. 2000, Cann 1998","Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419. ",,,,,,,
,yes,,,,,Chelodina,parkeri,Parker's snake-necked turtle,Chelidae,923.2,1307.9,"20M, 20F","Papua Province, New Guinea Island, Indonesia",205,228,,,,225,250,250,,"Lyons, J.A., D.J.D. Natusch, and C.R. Shepherd. 2013. The Harvest of Freshwater Turtles (Chelidae) from Papua, Indonesia, for the International Pet Trade. Oryx 47(2): 298-302.",,,,,,,,,
,yes,,,,,Chelodina,reimanni,Reimann's long-necked turtle,Chelidae,961,652.5,"2M, 13F","Papua Province, New Guinea Island, Indonesia",207,180,,,,209,220,220,,"Lyons, J.A., D.J.D. Natusch, and C.R. Shepherd. 2013. The Harvest of Freshwater Turtles (Chelidae) from Papua, Indonesia, for the International Pet Trade. Oryx 47(2): 298-302.",,,,,,,,,
yes,,,,,,Chelodina,reimanni,,Chelidae,,,"?M, F?",,155,206,,,,,,,,,Ernst et al. 2006a,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Chelodina ,canni,,Chelidae,,,,,161,221,,,,169,240,,,,(W.P. McCord and Thomson 2002) (Gosnell et al. 2009) ,"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Chelodina ,longicollis,,Chelidae,,,,,172,200,,,,185,219,,,,(Graham et al. 1996) ,"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Chelodina ,mccordi,,Chelidae,,,,,179.5,189.5,,,,200,233,,,,(Kuchling et al. 2007) ,"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
