"","class","order","family","species","AaM","longevity","juvMort","adMort","svl","fecundity","birth.svl","mass","Terr","AdTerr","IF","repmode","na_count"
"65","Actinopterygii","Cypriniformes","Cyprinidae","Acheilognathus meridianus",NA,NA,NA,NA,11.89999962,NA,NA,23.89999962,"0","0",0,0,6
"66","Actinopterygii","Clupeiformes","Engraulidae","Anchoa nasus",4,10,10.3089526606443,0.2,17,5000,NA,24.065,"0","0",0,0,1
"67","Actinopterygii","Clupeiformes","Engraulidae","Anchoa tricolor",NA,NA,NA,NA,14.89999962,NA,NA,24.10000038,"0","0",0,0,6
"68","Actinopterygii","Perciformes","Gobiidae","Amblychaeturichthys hexanema",NA,NA,NA,NA,17.39999962,NA,NA,24.79999924,"0","0",0,0,6
"69","Actinopterygii","Clupeiformes","Engraulidae","Engraulis anchoita",NA,NA,NA,NA,17,NA,NA,25,"0","0",0,0,6
"70","Actinopterygii","Characiformes","Characidae","Astyanax lacustris",NA,NA,NA,NA,9.300000191,NA,NA,25.29999924,"0","0",NA,0,7
"71","Actinopterygii","Scorpaeniformes","Cottidae","Cottus dzungaricus",NA,NA,NA,NA,11.39999962,NA,NA,25.5,"0","0",1,0,6
"72","Actinopterygii","Scorpaeniformes","Scorpaenidae","Brachypterois curvispina",NA,NA,NA,NA,12.60000038,NA,NA,26,"0","0",0,0,6
"73","Actinopterygii","Clupeiformes","Clupeidae","Clupeonella engrauliformis",NA,NA,NA,NA,16.5,NA,NA,26,"0","0",0,0,6
"74","Actinopterygii","Perciformes","Gerreidae","Eucinostomus melanopterus",NA,NA,NA,NA,30,NA,NA,26.5,"0","0",0,0,6
"75","Actinopterygii","Scorpaeniformes","Scorpaenidae","Brachypterois serrulata",NA,NA,NA,NA,15,NA,NA,29,"0","0",0,0,6
"76","Actinopterygii","Characiformes","Characidae","Astyanax abramis",NA,NA,NA,NA,14,NA,NA,29.70000076,"0","0",NA,0,7
"77","Actinopterygii","Cypriniformes","Cyprinidae","Alburnoides bipunctatus",NA,NA,NA,NA,18.5,NA,NA,30,"0","0",0,0,6
"78","Actinopterygii","Cypriniformes","Cyprinidae","Alburnus thessalicus",NA,NA,NA,NA,15.5,NA,NA,30.20000076,"0","0",0,0,6
"79","Actinopterygii","Cypriniformes","Cyprinidae","Discogobio tetrabarbatus",NA,NA,NA,NA,14,NA,NA,30.20000076,"0","0",0,0,6
"80","Actinopterygii","Characiformes","Characidae","Charax gibbosus",NA,NA,NA,NA,14.39999962,NA,NA,30.39999962,"0","0",NA,0,7
"81","Actinopterygii","Cypriniformes","Cyprinidae","Alburnoides fasciatus",NA,NA,NA,NA,13.80000019,NA,NA,32,"0","0",0,0,6
"82","Actinopterygii","Clupeiformes","Engraulidae","Anchoviella lepidentostole",NA,NA,NA,NA,18,NA,NA,32,"0","0",0,0,6
"83","Actinopterygii","Perciformes","Carangidae","Chloroscombrus chrysurus",NA,NA,NA,NA,65,NA,NA,32,"0","0",0,0,6
"84","Actinopterygii","Cypriniformes","Cyprinidae","Acheilognathus rhombeus",NA,NA,NA,NA,13.5,NA,NA,32.20000076,"0","0",0,0,6
"85","Actinopterygii","Cypriniformes","Cyprinidae","Crossocheilus atrilimes",NA,NA,NA,NA,16.39999962,NA,NA,32.70000076,"0","0",0,0,6
"86","Actinopterygii","Lophiiformes","Antennariidae","Antennarius striatus",NA,NA,NA,NA,25,NA,NA,32.90000153,"0","0",0,0,6
"87","Actinopterygii","Siluriformes","Ariidae","Aspistor quadriscutis",NA,NA,NA,NA,50,NA,NA,33.29999924,"0","0",0,0,6
"88","Actinopterygii","Cypriniformes","Botiidae","Botia dario",6.333333333,14.75,13.5570366330097,0.136363636369835,15.10000038,91750,NA,35,"0","0",0,0,1
"89","Actinopterygii","Characiformes","Characidae","Cynopotamus xinguano",NA,NA,NA,NA,15.19999981,NA,NA,35,"0","0",NA,0,7
"90","Actinopterygii","Cypriniformes","Cyprinidae","Discogobio yunnanensis",NA,NA,NA,NA,14.80000019,NA,NA,36.09999847,"0","0",0,0,6
"91","Actinopterygii","Characiformes","Characidae","Astyanax eigenmanniorum",NA,NA,NA,NA,14.39999962,NA,NA,36.29999924,"0","0",NA,0,7
"92","Actinopterygii","Characiformes","Curimatidae","Curimatella dorsalis",NA,NA,NA,NA,14.89999962,NA,NA,37,"0","0",0,0,6
"93","Actinopterygii","Characiformes","Curimatidae","Cyphocharax leucostictus",NA,NA,NA,NA,15.80000019,NA,NA,40.70000076,"0","0",0,0,6
"94","Actinopterygii","Cypriniformes","Cyprinidae","Garra variabilis",NA,NA,NA,NA,14.5,NA,NA,40.70000076,"0","0",0,0,6
"95","Actinopterygii","Characiformes","Hemiodontidae","Bivibranchia velox",NA,NA,NA,NA,16.29999924,NA,NA,42,"0","0",0,0,6
"96","Actinopterygii","Siluriformes","Auchenipteridae","Epapterus dispilurus",NA,NA,NA,NA,15.39999962,NA,NA,43,"0","0",1,0,6
"97","Actinopterygii","Characiformes","Acestrorhynchidae","Gilbertolus alatus",NA,NA,NA,NA,14.30000019,NA,NA,44.20000076,"0","0",0,0,6
"98","Actinopterygii","Siluriformes","Auchenipteridae","Centromochlus heckelii",NA,NA,NA,NA,13.89999962,NA,NA,44.86999893,"0","0",1,0,6
"99","Actinopterygii","Characiformes","Characidae","Acestrocephalus stigmatus",NA,NA,NA,NA,13.5,NA,NA,45,"0","0",NA,0,7
"100","Actinopterygii","Clupeiformes","Engraulidae","Engraulis japonicus",NA,5.5,NA,NA,18,NA,NA,45,"0","0",0,0,5
"101","Actinopterygii","Pleuronectiformes","Bothidae","Engyprosopon macrolepis",NA,NA,NA,NA,16,25,NA,47,"0","0",0,0,5
"102","Actinopterygii","Cypriniformes","Cyprinidae","Alburnus scoranza",NA,NA,NA,NA,17.89999962,NA,NA,47.40000153,"0","0",0,0,6
"103","Actinopterygii","Clupeiformes","Engraulidae","Anchoa panamensis",NA,NA,NA,NA,18.70000076,NA,NA,49.79999924,"0","0",0,0,6
